,name,salary,position,birthday,shoot
1668,Loren Meyer,556000.0,Center and Power Forward,1972-12-30,Right
1669,David Vaughn,534000.0,Power Forward,1973-03-23,Right
1670,Sherell Ford,500000.0,Small Forward,1972-08-26,Right
1671,Mario Bennett,480000.0,Power Forward and Small Forward,1973-08-01,Right
1672,Greg Ostertag,498000.0,Center,1973-03-06,Right
1673,Cory Alexander,490000.0,Point Guard and Shooting Guard,1973-06-22,Right
1674,Lou Roe,200000.0,Small Forward,1972-07-14,Right
1675,Terrence Rencher,200000.0,Point Guard,1973-02-19,Right
1676,Junior Burrough,300000.0,Power Forward,1973-01-18,Right
1677,Andrew DeClercq,230000.0,Center,1973-02-01,Right
1678,Jimmy King,300000.0,Shooting Guard,1973-08-09,Right
1679,Lawrence Moten,280000.0,Shooting Guard,1972-03-25,Right
1680,Frankie King,200000.0,Shooting Guard and Point Guard,1972-06-06,Right
1681,Donny Marshall,200000.0,Small Forward,1972-07-17,Right
1682,Dwayne Whitfield,,Power Forward,1972-08-21,Right
1683,Donnie Boyce,250000.0,Shooting Guard,1973-09-02,Right
1684,Eric Snow,200000.0,Point Guard and Shooting Guard,1973-04-24,Right
1685,Tyus Edney,210000.0,Point Guard,1973-02-14,Right
1686,Mark Davis,200000.0,Small Forward,1973-04-26,Right
1687,Jerome Allen,200000.0,Shooting Guard,1973-01-28,Right
1688,Martin Lewis,200000.0,Small Forward,1975-04-28,Right
1689,Fred Hoiberg,200000.0,Shooting Guard,1972-10-15,Right
1690,Michael McDonald,,Center,1969-02-13,Right
1691,Chris Carr,200000.0,Shooting Guard and Small Forward,1974-03-12,Right
1692,Cuonzo Martin,,Shooting Guard,1971-09-23,Right
1693,Don Reid,200000.0,Power Forward,1973-12-30,Right
1694,Allen Iverson,2267000.0,Shooting Guard and Point Guard,1975-06-07,Right
1695,Marcus Camby,2434000.0,Center and Power Forward,1974-03-22,Right
1696,Shareef Abdur-Rahim,2186000.0,Power Forward and Small Forward and Center,1976-12-11,Right
1697,Stephon Marbury,1917000.0,Point Guard,1977-02-20,Right
1698,Ray Allen,1785000.0,Shooting Guard,1975-07-20,Right
1699,Antoine Walker,1620000.0,Power Forward,1976-08-12,Right
1700,Lorenzen Wright,1480000.0,Center,1975-11-04,Right
1701,Kerry Kittles,1356000.0,Shooting Guard,1974-06-12,Right
1702,Samaki Walker,1246000.0,Power Forward and Center,1976-02-25,Right
1703,Erick Dampier,1184000.0,Center,1975-07-14,Right
1704,Todd Fuller,1125000.0,Center,1974-07-25,Left
1705,Vitaly Potapenko,1068000.0,Center,1975-03-21,Right
1706,Steve Nash,916000.0,Point Guard,1974-02-07,Right
1707,Tony Delk,870000.0,Point Guard and Shooting Guard,1974-01-28,Right
1708,John Wallace,785000.0,Small Forward,1974-02-09,Right
1709,Walter McCarty,750000.0,Power Forward and Small Forward,1974-02-01,Right
1710,Dontae' Jones,691000.0,Small Forward,1975-06-02,Right
1711,Roy Rogers,664000.0,Power Forward,1973-08-19,Right
1712,Derek Fisher,612000.0,Point Guard and Shooting Guard,1974-08-09,Left
1713,Jerome Williams,568000.0,Power Forward and Small Forward,1973-05-10,Right
1714,Brian Evans,551000.0,Small Forward,1973-09-13,Left
1715,Priest Lauderdale,548000.0,Center,1973-08-31,Left
1716,Travis Knight,220000.0,Center,1974-09-13,Right
1717,Othella Harrington,247500.0,Power Forward and Center,1974-01-31,Left
1718,Mark Hendrickson,247000.0,Power Forward,1974-06-23,Left
1719,Moochie Norris,350000.0,Point Guard,1973-07-27,Left
1720,Jeff McInnis,350000.0,Point Guard and Shooting Guard,1974-10-22,Right
1721,Steve Hamer,220000.0,Center,1973-11-13,Right
1722,Jason Sasser,2706.0,Small Forward,1974-01-13,Right
1723,Randy Livingston,220000.0,Point Guard,1975-04-02,Right
1724,Ben Davis,220000.0,Power Forward,1972-12-26,Right
1725,Malik Rose,220000.0,Power Forward and Small Forward,1974-11-23,Right
1726,Marcus Brown,220000.0,Point Guard and Shooting Guard,1974-04-03,Right
1727,Jamie Feick,272250.0,Center and Power Forward,1974-07-03,Right
1728,Amal McCaskill,220000.0,Center,1973-10-28,Right
1729,Chris Robinson,220000.0,Shooting Guard,1974-04-02,Right
1730,Mark Pope,242000.0,Power Forward and Small Forward,1972-09-11,Right
1731,Jeff Nordgaard,242000.0,Power Forward,1973-02-23,Right
1732,Shandon Anderson,220000.0,Shooting Guard and Small Forward,1973-12-31,Right
1733,Reggie Geary,220000.0,Point Guard,1973-08-31,Right
1734,Drew Barry,350000.0,Point Guard and Shooting Guard,1973-02-17,Right
1735,Tim Duncan,2967840.0,Center and Power Forward,1976-04-25,Right
1736,Keith Van Horn,2655360.0,Small Forward and Power Forward,1975-10-23,Right
1737,Chauncey Billups,2384640.0,Point Guard and Shooting Guard,1976-09-25,Right
1738,Antonio Daniels,2149920.0,Point Guard and Shooting Guard,1975-03-19,Right
1739,Tony Battie,1946880.0,Center and Power Forward,1976-02-11,Right
1740,Ron Mercer,1768320.0,Shooting Guard and Small Forward,1976-05-18,Right
1741,Tim Thomas,1614240.0,Small Forward and Power Forward,1977-02-26,Right
1742,Adonal Foyle,1495000.0,Center,1975-03-09,Right
1743,Danny Fortson,1291440.0,Power Forward and Center,1976-03-27,Right
1744,Tariq Abdul-Wahad,1226880.0,Shooting Guard,1974-11-03,Right
1745,Austin Croshere,1165440.0,Power Forward,1975-05-01,Right
1746,Derek Anderson,1107240.0,Shooting Guard and Small Forward and Point Guard,1974-07-18,Right
1747,Maurice Taylor,1051800.0,Power Forward and Small Forward and Center,1976-10-30,Right
1748,Kelvin Cato,999240.0,Center and Power Forward,1974-08-26,Right
1749,Brevin Knight,949320.0,Point Guard,1975-11-08,Right
1750,Johnny Taylor,901880.0,Small Forward,1974-06-04,Right
1751,Scot Pollard,818160.0,Center,1975-02-12,Right
1752,Paul Grant,785400.0,Center,1974-01-06,Right
1753,Anthony Parker,754080.0,Shooting Guard and Small Forward,1975-06-19,Right
1754,Ed Gray,723840.0,Shooting Guard,1975-09-27,Right
1755,Bobby Jackson,694920.0,Point Guard and Shooting Guard,1973-03-13,Right
1756,Rodrick Rhodes,555900.0,Small Forward and Shooting Guard,1973-09-24,Right
1757,John Thomas,640440.0,Center and Power Forward,1975-09-08,Right
1758,Charles Smith,619200.0,Shooting Guard,1975-08-22,Right
1759,Jacque Vaughn,601320.0,Point Guard and Shooting Guard,1975-02-11,Right
1760,Keith Booth,597600.0,Small Forward,1974-10-09,Right
1761,Charles O'Bannon,320000.0,Shooting Guard,1975-02-22,Right
1762,James Cotton,242000.0,Shooting Guard,1975-12-14,Left
1763,Bubba Wells,260000.0,Shooting Guard,1974-07-26,Right
1764,Kebu Stewart,242000.0,Power Forward,1973-12-19,Right
1765,James Collins,242000.0,Shooting Guard,1973-11-05,Right
1766,Marc Jackson,316969.0,Center and Power Forward,1975-01-16,Right
1767,Jerald Honeycutt,300000.0,Power Forward,1974-10-20,Right
1768,Anthony Johnson,242000.0,Point Guard and Shooting Guard,1974-10-02,Right
1769,Jason Lawson,242250.0,Center,1974-09-02,Right
1770,Stephen Jackson,316969.0,Small Forward and Shooting Guard and Power Forward,1978-04-05,Right
1771,Cedric Henderson,250000.0,Small Forward,1975-03-11,Right
1772,God Shammgod,242250.0,Point Guard,1976-04-29,Right
1773,Eric Washington,242000.0,Shooting Guard,1974-03-23,Right
1774,Alvin Williams,242000.0,Point Guard and Shooting Guard,1974-08-06,Right
1775,Chris Crawford,242000.0,Power Forward,1975-05-13,Right
1776,DeJuan Wheat,242000.0,Point Guard,1973-10-14,Right
1777,Mark Blount,316969.0,Center,1975-11-30,Right
